label,file,filename,decision,score,max_seconds,sample_fps,face_size,comp.P_motion,comp.P_rppg,comp.P_static,info.Q_rppg,info.bpm,info.corr_lr,info.dup_frame_rate,info.fft_peak_ratio,info.frames_used,info.hf_laplacian_mean,info.jitter_med_norm,info.lbp_entropy,info.mode,info.q_min,info.reason,info.rppg_peak_ratio,info.sample_fps,info.screen_fft_score,info.snr_db,info.spoof_hint,info.tau_live
REAL,data/real/WIN_20260120_01_31_44_Pro.mp4,WIN_20260120_01_31_44_Pro.mp4,LIVE,0.5628637507908808,8.5,12.0,160,0.5975031488267476,0.01146062991222088,0.7565185367755506,0.037559267096858494,56.8421052631579,0.8900698779661075,0.0,1.6432259480158489,76,5.7530598640441895,0.03718206658959389,3.6147828102111816,no_rppg,0.3,,1.1926884104765614,12.0,0.7613113721211752,1.530539977289169,unknown,0.5
REAL,data/real/WIN_20260121_23_39_56_Pro.mp4,WIN_20260121_23_39_56_Pro.mp4,SPOOF,0.631564439529067,8.5,12.0,160,0.5780899714827648,0.01023922781084047,0.9210579871199936,0.010145459189743753,48.0,-0.3567913657998001,0.01694915254237288,1.5469930171966553,60,6.8965104420979815,0.00654715858399868,4.089768886566162,no_rppg,0.3,,3.8091273985728398,12.0,0.7523969213167826,11.616509945634498,AI_likely,0.5
REAL,data/real/WIN_20260122_00_08_21_Pro.mp4,WIN_20260122_00_08_21_Pro.mp4,SPOOF,0.6255172512200756,8.5,12.0,160,0.5258685726559471,0.00014612116469631757,0.9420459881966673,0.00019068907383525184,108.31858407079648,-0.8329122646900406,0.08928571428571429,1.5507344007492065,113,7.5507683753967285,0.009679947979748249,4.032805601755778,no_rppg,0.3,,2.2889201088771904,12.0,0.7373509804407755,7.192612683452097,AI_likely,0.5
REAL,data/real/WIN_20260122_00_08_42_Pro.mp4,WIN_20260122_00_08_42_Pro.mp4,SPOOF,0.637396145435169,8.5,12.0,160,0.5748945744887194,0.0046317504700097165,0.9299088444501732,0.0052612792586340905,53.33333333333333,-0.384200636851387,0.025,1.5515321493148804,81,7.109049479166667,0.012694153934717178,4.079882462819417,no_rppg,0.3,,2.6617540994773523,12.0,0.7364478707313538,8.503358622179437,AI_likely,0.5
SPOOF,data/spoof/0.mp4,0.mp4,FAIL_NO_FACE,0.0,8.5,12.0,160,0.0,0.0,0.0,,,,,,18,,,,,,not_enough_face_frames,,,,,,
SPOOF,data/spoof/1 (1).mp4,1 (1).mp4,SPOOF,0.6725827580435559,8.5,12.0,160,0.5934885529737046,0.18644189132823025,0.999131677376318,0.1852129199747415,52.17391304347826,0.11889745830905846,0.0,1.5830033620198567,69,14.561627388000488,0.046441201120615005,4.085114002227783,no_rppg,0.3,,3.726951691455516,12.0,0.7495396733283997,11.427075255200641,AI_likely,0.5
SPOOF,data/spoof/10.mp4,10.mp4,SPOOF,0.6612979481620771,8.5,12.0,160,0.5947521194939482,0.010525820118339892,0.9788943618956518,0.03446475967585624,75.0,0.6256809661800201,0.0,1.6055422226587932,48,9.269882520039877,0.01646987907588482,4.070607821146647,no_rppg,0.3,,1.1934596338364236,12.0,0.7657456596692404,1.5361546817238763,AI_likely,0.5
SPOOF,data/spoof/11.mp4,11.mp4,SPOOF,0.6664038903012418,8.5,12.0,160,0.5965016201197308,0.04039244220002798,0.9803814234846233,0.08284988747429428,69.3975903614458,0.38147431066280085,0.0,1.5259069204330444,83,8.993997573852539,0.03949473053216934,4.232168356577556,no_rppg,0.3,,1.6405622665168065,12.0,0.7429375251134237,4.299854358691276,AI_likely,0.5
SPOOF,data/spoof/13.mp4,13.mp4,SPOOF,0.44596913923639164,8.5,12.0,160,0.592565196443699,0.35349888462523904,0.5733868514203873,0.4198218858229488,57.85714285714286,0.6741077872327087,0.0,1.8079934517542522,112,4.370612144470215,0.011433319188654423,3.6378563245137534,with_rppg,0.3,,2.5189608466540014,12.0,0.7821536660194397,8.024428334728626,inconsistent_motion_texture,0.5
SPOOF,data/spoof/16.mp4,16.mp4,SPOOF,0.5643042978843714,8.5,12.0,160,0.5897943591983438,0.31923309166632907,0.9866431158495985,0.3616100452951939,62.22222222222222,0.4310253390780445,0.0,1.5885816017786663,81,9.652669270833334,0.05493592470884323,4.238492488861084,with_rppg,0.3,,2.67185914492079,12.0,0.7485950390497843,8.53627117568381,AI_likely,0.5
SPOOF,data/spoof/21.mp4,21.mp4,SPOOF,0.6690134553799342,8.5,12.0,160,0.5942165382824328,0.02016730641374632,0.9934472513738659,0.03889437559946766,80.0,0.1408937104444751,0.0,1.6097261905670166,63,11.176236788431803,0.01523562427610159,4.0961833000183105,no_rppg,0.3,,1.7092510138574417,12.0,0.7570187250773112,4.656116912587834,AI_likely,0.5
SPOOF,data/spoof/3.mp4,3.mp4,LIVE,0.5705500815685105,8.5,12.0,160,0.5859678984373137,0.07108201030959246,0.7816478922905987,0.13795640124239572,73.46938775510205,0.6781677270671188,0.0,1.6203282276789348,49,5.552265644073486,0.0637102797627449,3.8124471505482993,no_rppg,0.3,,1.7020464832391857,12.0,0.7586731712023417,4.619428316926635,unknown,0.5
SPOOF,data/spoof/Fake_Video_Generation_for_KYC.mp4,Fake_Video_Generation_for_KYC.mp4,SPOOF,0.6779367614554549,8.5,12.0,160,0.5497905011578385,0.8011111679346063,0.9983136063139655,0.7927257800008506,52.5,0.7701400482757625,0.05263157894736842,1.5381346543629963,96,13.410078048706055,0.00206611561588943,4.092458883921306,with_rppg,0.3,,3.8591699544742677,12.0,0.7368801037470499,11.729878088325599,AI_likely,0.5
SPOOF,data/spoof/ksr.mp4,ksr.mp4,SPOOF,0.4214812594561854,8.5,12.0,160,0.596423605935389,0.5883791481466576,0.2933604345000905,0.6193965839176723,51.42857142857142,0.8724902893915364,0.0,1.7004810969034831,84,2.7040363947550454,0.020325202494859695,3.496162176132202,with_rppg,0.3,,3.0236351458559683,12.0,0.7861040631930033,9.610587685464617,replay_screen_likely,0.5
SPOOF,data/spoof/oldman.mp4,oldman.mp4,SPOOF,0.667580153782608,8.5,12.0,160,0.5925162776656955,0.0016783865150367652,0.9872330817577152,0.0025158567676467672,81.50943396226415,-0.39796437863259176,0.0,1.5767405430475872,106,10.164882977803549,0.011320754885673523,4.034191131591797,no_rppg,0.3,,2.040888833075657,12.0,0.7456894914309183,6.196386980646789,AI_likely,0.5
SPOOF,data/spoof/shahrukh.mp4,shahrukh.mp4,SPOOF,0.6234373998024009,8.5,12.0,160,0.5801967951538811,0.00034987389893860444,0.900236212049801,0.00034426689538712683,57.14285714285714,-0.8771526485552,0.016129032258064516,1.6123512983322144,63,7.1181901295979815,0.00998244620859623,3.793812354405721,no_rppg,0.3,,4.266796940670588,12.0,0.7494845191637675,12.60203948428767,AI_likely,0.5
SPOOF,data/spoof/Video_KYC_Generation_with_Motion.mp4,Video_KYC_Generation_with_Motion.mp4,SPOOF,0.6684400056213671,8.5,12.0,160,0.5871179511671274,0.003944952307376592,0.9911381964810694,0.004083057130658842,73.63636363636365,-0.4642490974129102,0.011494252873563218,1.5098332166671753,88,11.192356745402018,0.018081411719322205,3.83404270807902,no_rppg,0.3,,3.1488009191968467,12.0,0.7404287854830424,9.962904059924401,AI_likely,0.5
SPOOF,data/spoof/Webcam_Video_Generation.mp4,Webcam_Video_Generation.mp4,SPOOF,0.6362292503637387,8.5,12.0,160,0.5358792994241425,0.009343224269468632,0.9617473684060619,0.00922489167221025,45.0,-0.37564170283001513,0.07368421052631578,1.6225618918736775,96,8.428945223490397,0.006009405944496393,3.975609381993612,no_rppg,0.3,,3.9633680574645123,12.0,0.7460138400395712,11.961288083078333,AI_likely,0.5
SPOOF,data/spoof/WhatsApp Video 2026-01-18 at 20.07.58.mp4,WhatsApp Video 2026-01-18 at 20.07.58.mp4,SPOOF,0.5480972682312651,8.5,12.0,160,0.5911873603502497,0.38350722235031487,0.8792914050206965,0.39177085568766845,45.00000000000001,0.3340615000939572,0.0,1.6033350229263306,80,6.541731834411621,0.00826446246355772,3.8963006337483725,with_rppg,0.3,,3.2706602394210087,12.0,0.7523252169291178,10.292708616527705,inconsistent_motion_texture,0.5
SPOOF,data/spoof/WhatsApp Video 2026-01-29 at 20.03.09.mp4,WhatsApp Video 2026-01-29 at 20.03.09.mp4,SPOOF,0.665514716677764,8.5,12.0,160,0.5966467603351175,0.014263188403263736,0.9820675302481927,0.014045714013475903,45.00000000000001,-0.31633658321360086,0.0,1.5566550493240356,80,9.646198272705078,0.020840302109718323,4.010983149210612,no_rppg,0.3,,4.158511870161444,12.0,0.752390444278717,12.378758894815554,AI_likely,0.5
SPOOF,data/spoof/WhatsApp Video 2026-01-29 at 20.03.12.mp4,WhatsApp Video 2026-01-29 at 20.03.12.mp4,SPOOF,0.6708095889349961,8.5,12.0,160,0.5955390351134713,0.8559956277858741,0.8967535199105491,0.8418052650657424,45.71428571428571,0.6752286813528183,0.0,1.649373173713684,126,7.187031269073486,0.018284281715750694,3.749568462371826,with_rppg,0.3,,4.577754007511114,12.0,0.768967866897583,13.21304902008675,inconsistent_motion_texture,0.5
